,大分類,,中分類,,小分類,シナリオ,期待結果
1,電源,1-1,コネクタ脱着,1-1-1,Sleep中にコネクタ脱着,製品がSleepモードに入った後、特定のコネクタを取り外す。,製品が安全に動作し、エラーメッセージや警告を表示する。
,,,,1-1-2,WakeUp(通信)中にコネクタ脱着,製品が通信モードに入った後、特定のコネクタを取り外す。,通信が中断し、製品がエラーメッセージや警告を表示する。
,,1-2,状態変化,1-2-1,電源OFF中の状態変化後に電源ON,製品の電源をOFFにした後、外部からの信号やセンサーの値、製品の状態を変更し、電源を再度ONにする。,製品が正常に起動し、変更された状態を正確に検出する。
,,1-3,SW操作,1-3-1,SW操作中に電源ON→OFF,製品のSW操作中に突然電源を切る。,製品が安全にシャットダウンし、データの破損や不整合が発生しない。
,,,,1-3-2,SW操作中に電源OFF→ON,製品のSW操作中に電源を切り、再度電源を入れる。,製品が正常に再起動し、前回の操作状態が正確に復元される。
,,1-4,電圧変動,1-4-1,リセット直後の通信ライン確認,リセット直後に通信ラインを確認する。,不用意なBUSエッジが発生しないこと。
,,1-5,データフラッシュ,1-5-1,外乱発生中の書込み確認,外乱、低電圧時の書き込み動作を確認する。,書き込み動作が正常に行われること。
,,1-6,EEPROM,1-6-1,EEPROMへ読み出しアクセス中（イニシャル時）に電源OFF,製品がEEPROMへの読み出しアクセス中（イニシャル時）に電源がOFFになる。,製品が安全にシャットダウンし、データの破損や不整合が発生しないこと。
,,,,1-6-2,EEPROMへ書き込みアクセス中に電源OFF,製品がEEPROMへの書き込みアクセス中に電源がOFFになる。,製品が安全にシャットダウンし、書き込みデータの破損や不整合が発生しないこと。
,,1-7,アクチュエータ,1-7-1,アクチュエータ作動中に電源OFF,製品のアクチュエータが作動中に電源がOFFになる。,製品が安全にシャットダウンし、アクチュエータの動作が適切に停止すること。
,,,,1-7-2,アクチュエータ作動中に電源電圧変動,製品のアクチュエータが作動中に電源電圧が変動する。,製品が安全に動作し、アクチュエータの動作に異常が発生しないこと。
2,操作,2-1,同時操作,2-1-1,複数SWの同時操作,製品の複数のSWが同時に操作される。,製品が安全に動作し、各SWの操作に応じた適切な反応や動作をすること。
,,2-2,パチンコ操作,2-2-1,単一SWのパチンコ操作,製品の単一SWを短時間で連続して操作する（パチンコ操作）。,製品が安全に動作し、SWの操作に応じた適切な反応や動作をすること。
,,,,2-2-2,複数SWのパチンコ操作,製品の複数のSWを短時間で連続して操作する（パチンコ操作）。,製品が安全に動作し、SWの操作に応じた適切な反応や動作をすること。
,,2-3,連続操作,2-3-1,単一SWの連続操作,製品の単一SWを連続して操作する。,製品が安全に動作し、SWの操作に応じた適切な反応や動作をすること。
,,,,2-3-2,複数SWの連続操作,製品の複数のSWを連続して操作する。,製品が安全に動作し、SWの操作に応じた適切な反応や動作をすること。
,,2-4,長時間操作,2-4-1,単一SWの長時間操作（長押し）,製品の単一SWを長時間操作する（長押し）。,製品が安全に動作し、SWの操作に応じた適切な反応や動作をすること。
,,,,2-4-2,複数SWの長時間操作（長押し）,製品の複数のSWを長時間操作する（長押し）。,製品が安全に動作し、SWの操作に応じた適切な反応や動作をすること。
,,2-5,短時間操作,2-5-1,単一SWの短時間操作（単押し）,製品の単一SWを短時間操作する（単押し）。,製品が安全に動作し、SWの操作に応じた適切な反応や動作をすること。
,,,,2-5-2,複数SWの短時間操作（単押し）,製品の複数のSWを短時間操作する（単押し）。,製品が安全に動作し、SWの操作に応じた適切な反応や動作をすること。
,,2-6,操作ストローク,2-6-1,短いストロークでのSW操作時の製品の挙動,製品のSWを短いストロークで操作する。,製品が安全に動作し、SWの操作に応じた適切な反応や動作をすること。
,,,,2-6-2,長いストロークでのSW操作時の製品の挙動,製品のSWを長いストロークで操作する。,製品が安全に動作し、SWの操作に応じた適切な反応や動作をすること。
,,2-7,アクチュエータ,2-7-1,アクチュエータ作動中にSW操作,"製品のアクチュエータが作動中にSWを操作する。	",製品が安全に動作し、アクチュエータとSWの操作に応じた適切な反応や動作をすること。
,,,,2-7-2,アクチュエータの連続作動,製品のアクチュエータを連続して作動させる。,製品が安全に動作し、アクチュエータとSWの操作に応じた適切な反応や動作をすること。
